date,file,N,F,E
2023-01-06,2023-01-06.npz,48,2,530
2023-01-13,2023-01-13.npz,48,2,530
2023-01-20,2023-01-20.npz,48,2,524
2023-01-27,2023-01-27.npz,48,2,524
2023-02-03,2023-02-03.npz,48,2,518
2023-02-10,2023-02-10.npz,48,2,526
2023-02-17,2023-02-17.npz,48,2,522
2023-02-24,2023-02-24.npz,48,2,522
2023-03-03,2023-03-03.npz,48,2,522
2023-03-10,2023-03-10.npz,48,2,508
2023-03-17,2023-03-17.npz,48,2,500
2023-03-24,2023-03-24.npz,48,2,504
2023-03-31,2023-03-31.npz,48,2,498
2023-04-07,2023-04-07.npz,48,2,510
2023-04-14,2023-04-14.npz,48,2,506
2023-04-21,2023-04-21.npz,48,2,504
2023-04-28,2023-04-28.npz,48,2,520
2023-05-05,2023-05-05.npz,48,2,504
2023-05-12,2023-05-12.npz,48,2,512
2023-05-19,2023-05-19.npz,48,2,522
2023-05-26,2023-05-26.npz,48,2,514
2023-06-02,2023-06-02.npz,48,2,506
2023-06-09,2023-06-09.npz,48,2,504
2023-06-16,2023-06-16.npz,48,2,500
2023-06-23,2023-06-23.npz,48,2,498
2023-06-30,2023-06-30.npz,48,2,480
2023-07-07,2023-07-07.npz,48,2,488
2023-07-14,2023-07-14.npz,48,2,494
2023-07-21,2023-07-21.npz,48,2,506
2023-07-28,2023-07-28.npz,48,2,492
2023-08-04,2023-08-04.npz,48,2,496
2023-08-11,2023-08-11.npz,48,2,492
2023-08-18,2023-08-18.npz,48,2,486
2023-08-25,2023-08-25.npz,48,2,486
2023-09-01,2023-09-01.npz,48,2,474
2023-09-08,2023-09-08.npz,48,2,488
2023-09-15,2023-09-15.npz,48,2,504
2023-09-22,2023-09-22.npz,48,2,478
2023-09-29,2023-09-29.npz,48,2,490
2023-10-06,2023-10-06.npz,48,2,496
2023-10-13,2023-10-13.npz,48,2,492
2023-10-20,2023-10-20.npz,48,2,488
2023-10-27,2023-10-27.npz,48,2,496
2023-11-03,2023-11-03.npz,48,2,506
2023-11-10,2023-11-10.npz,48,2,512
2023-11-17,2023-11-17.npz,48,2,508
2023-11-24,2023-11-24.npz,48,2,510
2023-12-01,2023-12-01.npz,48,2,508
2023-12-08,2023-12-08.npz,48,2,508
2023-12-15,2023-12-15.npz,48,2,506
2023-12-22,2023-12-22.npz,48,2,504
2023-12-29,2023-12-29.npz,48,2,506
2024-01-05,2024-01-05.npz,48,2,512
2024-01-12,2024-01-12.npz,48,2,522
2024-01-19,2024-01-19.npz,48,2,522
2024-01-26,2024-01-26.npz,48,2,522
2024-02-02,2024-02-02.npz,48,2,518
2024-02-09,2024-02-09.npz,48,2,518
2024-02-16,2024-02-16.npz,48,2,514
2024-02-23,2024-02-23.npz,48,2,514
2024-03-01,2024-03-01.npz,48,2,508
2024-03-08,2024-03-08.npz,48,2,522
2024-03-15,2024-03-15.npz,48,2,508
2024-03-22,2024-03-22.npz,48,2,512
2024-03-29,2024-03-29.npz,48,2,514
2024-04-05,2024-04-05.npz,48,2,510
2024-04-12,2024-04-12.npz,48,2,496
2024-04-19,2024-04-19.npz,48,2,474
2024-04-26,2024-04-26.npz,48,2,490
2024-05-03,2024-05-03.npz,48,2,476
2024-05-10,2024-05-10.npz,48,2,476
2024-05-17,2024-05-17.npz,48,2,476
2024-05-24,2024-05-24.npz,48,2,474
2024-05-31,2024-05-31.npz,48,2,486
2024-06-07,2024-06-07.npz,48,2,490
2024-06-14,2024-06-14.npz,48,2,486
2024-06-21,2024-06-21.npz,48,2,478
2024-06-28,2024-06-28.npz,48,2,480
2024-07-05,2024-07-05.npz,48,2,466
2024-07-12,2024-07-12.npz,48,2,462
2024-07-19,2024-07-19.npz,48,2,482
2024-07-26,2024-07-26.npz,48,2,476
2024-08-02,2024-08-02.npz,48,2,480
2024-08-09,2024-08-09.npz,48,2,484
2024-08-16,2024-08-16.npz,48,2,490
2024-08-23,2024-08-23.npz,48,2,488
2024-08-30,2024-08-30.npz,48,2,490
2024-09-06,2024-09-06.npz,48,2,490
2024-09-13,2024-09-13.npz,48,2,494
2024-09-20,2024-09-20.npz,48,2,506
2024-09-27,2024-09-27.npz,48,2,516
2024-10-04,2024-10-04.npz,48,2,526
2024-10-11,2024-10-11.npz,48,2,506
2024-10-18,2024-10-18.npz,48,2,514
2024-10-25,2024-10-25.npz,48,2,512
2024-11-01,2024-11-01.npz,48,2,510
2024-11-08,2024-11-08.npz,48,2,518
2024-11-15,2024-11-15.npz,48,2,528
2024-11-22,2024-11-22.npz,48,2,522
2024-11-29,2024-11-29.npz,48,2,506
2024-12-06,2024-12-06.npz,48,2,514
2024-12-13,2024-12-13.npz,48,2,512
2024-12-20,2024-12-20.npz,48,2,490
2024-12-27,2024-12-27.npz,48,2,496
2025-01-03,2025-01-03.npz,48,2,510
2025-01-10,2025-01-10.npz,48,2,496
2025-01-17,2025-01-17.npz,48,2,496
2025-01-24,2025-01-24.npz,48,2,510
2025-01-31,2025-01-31.npz,48,2,506
2025-02-07,2025-02-07.npz,48,2,500
2025-02-14,2025-02-14.npz,48,2,496
2025-02-21,2025-02-21.npz,48,2,494
2025-02-28,2025-02-28.npz,48,2,488
2025-03-07,2025-03-07.npz,48,2,462
2025-03-14,2025-03-14.npz,48,2,470
2025-03-21,2025-03-21.npz,48,2,488
2025-03-28,2025-03-28.npz,48,2,488
2025-04-04,2025-04-04.npz,48,2,490
2025-04-11,2025-04-11.npz,48,2,508
2025-04-18,2025-04-18.npz,48,2,520
2025-04-25,2025-04-25.npz,48,2,506
2025-05-02,2025-05-02.npz,48,2,524
2025-05-09,2025-05-09.npz,48,2,530
2025-05-16,2025-05-16.npz,48,2,530
2025-05-23,2025-05-23.npz,48,2,534
2025-05-30,2025-05-30.npz,48,2,542
2025-06-06,2025-06-06.npz,48,2,552
2025-06-13,2025-06-13.npz,48,2,554
2025-06-20,2025-06-20.npz,48,2,560
2025-06-27,2025-06-27.npz,48,2,558
2025-07-04,2025-07-04.npz,48,2,566
2025-07-11,2025-07-11.npz,48,2,554
2025-07-18,2025-07-18.npz,48,2,552
2025-07-25,2025-07-25.npz,48,2,556
2025-08-01,2025-08-01.npz,48,2,558
2025-08-08,2025-08-08.npz,48,2,548
2025-08-15,2025-08-15.npz,48,2,548
2025-08-22,2025-08-22.npz,48,2,564
2025-08-29,2025-08-29.npz,48,2,566
2025-09-05,2025-09-05.npz,48,2,558
2025-09-12,2025-09-12.npz,48,2,552
2025-09-19,2025-09-19.npz,48,2,558
2025-09-26,2025-09-26.npz,48,2,524
2025-10-03,2025-10-03.npz,48,2,514
2025-10-10,2025-10-10.npz,48,2,516
2025-10-17,2025-10-17.npz,48,2,516
2025-10-24,2025-10-24.npz,48,2,516
2025-10-31,2025-10-31.npz,48,2,514
2025-11-07,2025-11-07.npz,48,2,498
2025-11-14,2025-11-14.npz,48,2,504
2025-11-21,2025-11-21.npz,48,2,512
2025-11-28,2025-11-28.npz,48,2,504
2025-12-05,2025-12-05.npz,48,2,508
2025-12-12,2025-12-12.npz,48,2,492
2025-12-19,2025-12-19.npz,48,2,490
2025-12-26,2025-12-26.npz,48,2,486
